code,name
K-PS2,Motion and Stability: Forces and Interactions
K-PS3,Energy
K-LS1,From Molecules to Organisms: Structures and Processes
K-ESS2,Earth's Systems
K-ESS3,Earth and Human Activity
K-2-ETS1,Engineering Design
1-PS4,Waves and Their Applications in Technologies for Information Transfer
1-LS1,From Molecules to Organisms: Structures and Processes
1-LS3,Heredity: Inheritance and Variation of Traits
1-ESS1,Earth's Place in the Universe
K-2-ETS1,Engineering Design
2-PS1,Matter and Its Interactions
2-LS2,"Ecosystems: Interactions, Energy, and Dynamics"
2-LS4,Biological Evolution: Unity and Diversity
2-ESS1,Earth's Place in the Universe
2-ESS2,Earth's Systems
K-2-ETS1,Engineering Design
3-PS2,Motion and Stability: Forces and Interactions
3-LS1,From molecules to Organisms: Structures and Processes
3-LS2,"Ecosystems: Interactions, Energy, and Dynamics"
3-LS3,Heredity: Inheritance and Variation of Traits
3-LS4,Biological Evolution: Unity and Diversity
3-ESS2,Earth's Systems
3-ESS3,Earth and Human Activity
3-5-ETS1,Engineering Design
4-PS3,Energy
4-PS4,Waves and Their Applications in Technologies for Information Transfer
4-LS1,From Molecules to Organisms: Structures and Processes
4-ESS1,Earth's Place in the Universe
4-ESS2,Earth's Systems
4-ESS3,Earth and Human Activity
3-5-ETS1,Engineering Design
5-PS1,Matter and Its Interactions
5-PS2,Motion and Stability: Forces and Interactions
5-PS3,Energy
5-LS1,From Molecules to Organisms: Structures and Processes
5-LS2,"Ecosystems: Interactions, Energy, and Dynamics"
5-ESS1,Earth's Place in the Universe
5-ESS2,Earth's Systems
5-ESS3,Earth and Human Activity
3-5-ETS1,Engineering Design
MS-PS1,Matter and its Interactions
MS-PS2,Motion and Stability: Forces and Interactions
MS-PS3,Energy
MS-PS4,Waves and their Applications in Technologies for Information Transfer 
MS-LS1,From Molecules to Organisms: Structures and Processes 
MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics"
MS-LS3,Heredity: Inheritance and Variation of Traits 
MS-LS4,Biological Evolution: Unity and Diversity
MS-ESS1,Earth's Place in the Universe
MS-ESS2,Earth's Systems
MS-ESS3,Earth and Human Activity
MS-ETS1,Engineering Design
HS-PS1,Matter and its Interactions
HS-PS2,Motion and Stability: Forces and Interactions
HS-PS3,Energy
HS-PS4,Waves and their Applications in Technologies for Information Transfer 
HS-LS1,From Molecules to Organisms: Structures and Processes
HS-LS2,Ecosystems:
HS-LS3,Heredity: Inheritance and Variation of Traits
HS-LS4,Biological Evolution: Unity and Diversity
HS-ESS1,Earth's Place in the Universe
HS-ESS2,Earth's Systems
HS-ESS3,Earth and Human Activity
HS-ETS1,Engineering Design